region,SA2_5DIG16,v_lnp_sa2,v_alp_sa2,v_t_sa2,p_lnp_sa2,p_alp_sa2,p_lnp_sa2_16,swing,coal,mining,coal_lab,min_lab
Northern Beaches,31486,1963.148297,1148.87372,3112.0220170000002,63.08,36.92,52.37,10.71,1.1111111111111112,5.020576131687243,coal,mining
Whyalla,41136,5047.673431,6405.47344,11453.146871,44.07,55.93,33.37,10.7,0.0628693574751666,10.549478184332955,non_coal,mining
Tumbarumba,11260,867.7645938,715.8891866,1583.6537804,54.8,45.2,44.16,10.64,0,0.2253944402704733,non_coal,non_mining
Wulguru - Roseneath,31491,1544.472737,1015.475959,2559.948696,60.33,39.67,49.7,10.63,0.8559201141226819,2.710413694721826,coal,mining
Kelso,31480,2802.156141,2154.85669,4957.012831,56.53,43.47,46.01,10.52,0.8834355828220859,3.4355828220858897,coal,mining
Waverley - St Leonards,61050,1035.040661,1074.929348,2109.9700089999997,49.05,50.95,38.54,10.51,0,0.23112480739599386,non_coal,non_mining
Lithgow Region,11071,3082.659978,2028.453816,5111.113794,60.31,39.69,49.82,10.49,8.12848246476565,9.0789904949197,coal,mining
Rockhampton Region - East,31218,1130.569723,706.2962605,1836.8659835,61.55,38.45,51.13,10.42,7.245222929936306,9.394904458598727,coal,mining
The Range - Allenstown,31222,2336.010998,1569.345187,3905.356185,59.82,40.18,49.5,10.32,2.737619194094125,3.3528145186096583,coal,mining
Emerald,31192,4341.313858,1835.384203,6176.698061000001,70.29,29.71,60.05,10.24,18.322190385227636,20.184654568608725,coal,mining
Rutherglen,21065,1406.327481,796.176958,2202.5044390000003,63.85,36.15,53.64,10.21,0,0,non_coal,non_mining
Bohle Plains,31470,2451.9881,1396.9293,3848.9174000000003,63.71,36.29,53.62,10.09,1.0844748858447488,3.1678082191780823,coal,mining
Dalrymple,31463,1039.635188,453.8513805,1493.4865685,69.61,30.39,59.53,10.08,2.3856858846918487,11.133200795228628,coal,mining
Roma Region,31177,1767.852704,452.3802581,2220.2329621,79.62,20.38,69.55,10.07,0.29101491451436884,3.3466715169152423,non_coal,mining
Virginia,71034,903.7192632,518.7291174,1422.4483805999998,63.53,36.47,53.54,9.99,0,2.2335673261008293,non_coal,mining
Waterford West,31328,1384.933145,1331.834122,2716.767267,50.98,49.02,41.04,9.94,0.12121212121212122,0.40404040404040403,non_coal,non_mining
Wangaratta,21066,7743.237911,4135.432166,11878.670076999999,65.19,34.81,55.28,9.91,0,0.174146014735432,non_coal,non_mining
Deeragun,31473,6845.554025,4362.284496,11207.838521000001,61.08,38.92,51.18,9.9,1.0800568450971104,3.6665087636191376,coal,mining
Central Highlands - East,31190,1280.187694,1185.703548,2465.8912419999997,51.92,48.08,42.07,9.85,35.561081753186194,37.48834317687286,coal,mining
Palmerston - North,71041,934.0442707,794.1395312,1728.1838019,54.05,45.95,44.27,9.78,0,2.8814359943316012,non_coal,mining
Deception Bay,31373,5766.570409,4556.678707,10323.249115999999,55.86,44.14,46.09,9.77,0.20931449502878074,0.7849293563579277,non_coal,non_mining
Evans Head,11241,1940.507176,1197.737458,3138.244634,61.83,38.17,52.17,9.66,0,0.28137310073157007,non_coal,non_mining
Wangaratta Region,21067,4250.110899,2137.578849,6387.689748000001,66.54,33.46,56.92,9.62,0,0.40540540540540543,non_coal,non_mining
Far Central West,31410,484.9112614,178.9847876,663.896049,73.04,26.96,63.45,9.59,0.49504950495049505,0.9900990099009901,non_coal,non_mining
Yackandandah,21075,1877.317089,1109.835878,2987.152967,62.85,37.15,53.3,9.55,0,0.19559902200488996,non_coal,non_mining
Condon - Rasmussen,31471,2870.178012,2111.747086,4981.925098,57.61,42.39,48.06,9.55,0.7029419422025514,2.629523561572507,coal,mining
Howard Springs,71031,1101.823682,679.2054634,1781.0291453999998,61.86,38.14,52.35,9.51,0,2.7008310249307477,non_coal,mining
Charters Towers,31462,2723.445186,1260.180345,3983.6255309999997,68.37,31.63,58.87,9.5,1.684981684981685,9.5970695970695985,coal,mining
Boronia Heights - Park Ridge,31311,2982.076974,2403.157224,5385.234198,55.38,44.62,45.98,9.4,0.1588021778584392,0.3176043557168784,non_coal,non_mining
Roma,31176,2380.018252,751.6824574,3131.7007094,76,24,66.68,9.32,0,5.34181240063593,non_coal,mining
Lithgow,11070,4183.896245,3241.486623,7425.382868,56.35,43.65,47.07,9.28,8.790686623901165,9.337134711332858,coal,mining
Edgeworth - Cameron Park,11217,3002.763868,4461.399022,7464.16289,40.23,59.77,31.04,9.19,3.1098609157680888,3.7662134708548214,coal,mining
Ingham,31464,1887.166825,712.7473414,2599.9141664,72.59,27.41,63.47,9.12,0.24813895781637718,0.9305210918114143,non_coal,non_mining
Bouldercombe,31206,557.9554522,356.5693863,914.5248385,61.01,38.99,51.94,9.07,7.379518072289157,9.939759036144578,coal,mining
Gracemere,31210,2944.124027,2528.289355,5472.413382,53.8,46.2,44.76,9.04,7.81414994720169,9.524815205913411,coal,mining
Mount Gambier - East,41173,5925.818451,2825.111164,8750.929615000001,67.72,32.28,58.69,9.03,0,0.32634032634032634,non_coal,non_mining
St Clair,11470,4767.467496,5007.046599,9774.514095,48.77,51.23,39.76,9.01,0.031107424305267525,0.07258399004562423,non_coal,non_mining
Bombala,11013,760.2820855,528.2620688,1288.5441543,59,41,50,9,0,0,non_coal,non_mining
Ingham Region,31465,2893.541528,1098.53579,3992.077318,72.48,27.52,63.48,9,0.5279034690799397,2.3378582202111615,non_coal,mining
Proserpine,31361,2867.236747,1528.888326,4396.125073,65.22,34.78,56.24,8.98,6.262568227520828,7.038207411663315,coal,mining
Lake Munmorah - Mannering Park,11050,2964.15415,3078.647918,6042.802068,49.05,50.95,40.08,8.97,1.0399562123700055,1.3136288998357963,coal,non_mining
Kirwan - West,31482,4849.034594,3198.892972,8047.927566,60.25,39.75,51.31,8.94,0.5927522565000674,2.0746328977502357,coal,mining
Lewiston - Two Wells,41027,1213.801597,1046.246805,2260.048402,53.71,46.29,44.78,8.93,0,1.3168395849960097,non_coal,non_mining
Casino,11244,4968.54196,2492.590652,7461.132611999999,66.59,33.41,57.67,8.92,0.12833675564681724,0.4876796714579056,non_coal,non_mining
Abbotsford,21139,1307.687311,2637.026379,3944.7136899999996,33.15,66.85,24.26,8.89,0.06150061500615006,0.14350143501435014,non_coal,non_mining
Riverview,31295,434.5509224,689.3222929,1123.8732153,38.67,61.33,29.85,8.82,0.4491017964071856,0.4491017964071856,non_coal,non_mining
Gladstone Hinterland,31535,2924.220296,2964.876568,5889.096864,49.65,50.35,40.84,8.81,0.9962640099626401,3.922789539227895,coal,mining
George Town,61059,1866.540142,2046.360169,3912.9003110000003,47.7,52.3,38.91,8.79,0.14917951268025859,2.187966185977126,non_coal,mining
Mount Gambier - West,41174,5724.18692,2700.330046,8424.516966,67.95,32.05,59.18,8.77,0,0.45508174616551494,non_coal,non_mining
Ayr,31460,3535.036398,1335.77469,4870.811088,72.58,27.42,63.88,8.7,1.145750066613376,2.184918731681322,coal,mining
Edmonton,31147,2758.744758,2149.661592,4908.406349999999,56.2,43.8,47.53,8.67,0.36874855957593916,1.9128831528001842,non_coal,non_mining
Northern Highlands,31407,713.1200257,293.9382135,1007.0582392000001,70.81,29.19,62.15,8.66,0.1855287569573284,3.277674706246135,non_coal,mining
Mount Louisa,31484,2996.48389,1892.497826,4888.981716,61.29,38.71,52.63,8.66,0.9659714599341384,2.9198682766190998,coal,mining
Emu Park,31207,1830.226896,1107.659996,2937.886892,62.3,37.7,53.66,8.64,9.324942791762014,10.526315789473683,coal,mining
Ravenswood,61045,778.9084831,1169.410236,1948.3187191,39.98,60.02,31.4,8.58,0,0,non_coal,non_mining
Roebuck,51266,256.5679438,338.9338192,595.501763,43.08,56.92,34.53,8.55,0,0.5791505791505791,non_coal,non_mining
