SA2_5digitcode_2016,ALP_TPP_2019,LNP_TPP_2019,ALP_TPP_2019_pc,LNP_TPP_2019_pc,ALP_TPP_2016_pc,LNP_TPP_2016_pc,ALP_TPP_swing,LNP_TPP_swing
81132,2.913955331,1.848943184,61.18,38.82,61.99,38.01,-0.81,0.81
81133,3.987166137,2.848923009,58.33,41.67,55.47,44.53,2.86,-2.86
81134,2.325007731,1.570363826,59.69,40.31,57.22,42.78,2.47,-2.47
81135,998.7791974,614.8139043,61.9,38.1,59.22,40.78,2.68,-2.68
81136,158.6623351,99.61639188,61.43,38.57,59.05,40.95,2.38,-2.38
81138,0.488408556,0.45917796,51.54,48.46,55.72,44.28,-4.18,4.18
81139,965.6509368,603.4707311,61.54,38.46,59.13,40.87,2.41,-2.41
81140,166.1230274,114.7240675,59.15,40.85,57.85,42.15,1.3,-1.3
81141,15.00048681,12.78576061,53.99,46.01,52.11,47.89,1.88,-1.88
91001,305.7150987,91.4516036,76.97,23.03,69.57,30.43,7.4,-7.4
91002,245.1011599,40.74188812,85.75,14.25,69.52,30.48,16.23,-16.23
91003,65.10810811,6.905405405,90.41,9.59,91.8,8.2,-1.39,1.39
91004,246.3821169,299.6077771,45.13,54.87,44.64,55.36,0.49,-0.49
