SA2_5DIG16,v_lnp_sa2,v_alp_sa2,v_t_sa2,p_lnp_sa2,p_alp_sa2,p_lnp_sa2_16,swing
71051,504.897077,471.2746797,976.1717567000001,51.72,48.28,48.94,2.78
71052,242.6362722,822.2004016,1064.8366738,22.79,77.21,33.99,-11.2
71053,219.8798672,840.1038463,1059.9837135,20.74,79.26,35.36,-14.62
71054,159.2494971,622.1310126,781.3805097,20.38,79.62,34.38,-14
71055,170.9195219,550.8504956,721.7700175,23.68,76.32,31.56,-7.88
71056,432.3678355,662.2989345,1094.66677,39.5,60.5,31.55,7.95
71057,643.5435487,855.9790305,1499.5225792,42.92,57.08,38.17,4.75
71058,168.1822656,427.6209222,595.8031877999999,28.23,71.77,32.49,-4.26
71059,196.1031498,562.25914,758.3622898,25.86,74.14,31.09,-5.23
71060,265.3100278,848.4861595,1113.7961873,23.82,76.18,30.78,-6.96
71061,349.2303605,818.3943781,1167.6247386,29.91,70.09,31.05,-1.14
71062,192.0021942,314.4391554,506.44134959999997,37.91,62.09,31.18,6.73
71063,370.7974496,1904.870937,2275.6683866,16.29,83.71,30.81,-14.52
71064,351.0844959,785.3136071,1136.398103,30.89,69.11,30.88,0.01
71065,215.3145698,478.658085,693.9726548,31.03,68.97,33.22,-2.19
71066,403.4898213,947.881782,1351.3716033,29.86,70.14,31.64,-1.78
71067,2136.600776,1826.461746,3963.062522,53.91,46.09,47.73,6.18
71068,181.7065535,458.8712425,640.577796,28.37,71.63,33.5,-5.13
81001,441.6626171,1105.806575,1547.4691921,28.54,71.46,32.56,-4.02
81002,1029.633176,1896.185028,2925.818204,35.19,64.81,35.15,0.04
81003,1138.220458,2201.451038,3339.671496,34.08,65.92,35.61,-1.53
81004,640.6749158,1048.345152,1689.0200678,37.93,62.07,36.19,1.74
81005,540.9204209,1271.189969,1812.1103899,29.85,70.15,33.16,-3.31
81006,1531.735805,2492.244712,4023.980517,38.07,61.93,36.29,1.78
81007,1192.743777,2039.562847,3232.306624,36.9,63.1,36.92,-0.02
81008,1013.131865,1843.299607,2856.4314719999998,35.47,64.53,35.66,-0.19
81009,787.1292049,1315.905935,2103.0351399,37.43,62.57,35.78,1.65
81010,502.7090459,807.298869,1310.0079148999998,38.37,61.63,36.76,1.61
81011,697.2274904,1311.465066,2008.6925563999998,34.71,65.29,36.7,-1.99
81012,0.885714286,1.076190476,1.961904762,45.15,54.85,42.55,2.6
81013,628.9629135,1105.705213,1734.6681265,36.26,63.74,36.38,-0.12
81014,647.3326896,1133.60303,1780.9357196,36.35,63.65,35.11,1.24
81015,1037.698725,1765.844466,2803.5431909999998,37.01,62.99,35.32,1.69
81016,1577.843415,2835.323356,4413.166771,35.75,64.25,37.17,-1.42
81017,777.0641588,1418.586194,2195.6503528,35.39,64.61,34.62,0.77
81018,299.8631132,566.275762,866.1388752,34.62,65.38,36.61,-1.99
81019,1338.819249,2426.647312,3765.466561,35.56,64.44,35.15,0.41
81020,479.91468,1074.604997,1554.5196769999998,30.87,69.13,33.35,-2.48
81021,638.8080662,1061.255882,1700.0639482,37.58,62.42,36.94,0.64
81022,691.6476738,1231.280986,1922.9286597999999,35.97,64.03,34.82,1.15
81023,584.5973357,1029.960531,1614.5578667,36.21,63.79,36.32,-0.11
81024,518.1014486,1168.872928,1686.9743766000001,30.71,69.29,33.53,-2.82
81025,569.4805496,963.7280018,1533.2085514,37.14,62.86,36.09,1.05
81026,573.8038957,1030.545918,1604.3498137000001,35.77,64.23,37.04,-1.27
81031,1.60575775,2.181864521,3.787622271,42.39,57.61,42.21,0.18
81032,2.870688032,3.978251313,6.848939345,41.91,58.09,44.65,-2.74
81034,1370.875578,1890.20911,3261.084688,42.04,57.96,41.96,0.08
81035,1273.741189,1843.902158,3117.643347,40.86,59.14,39.96,0.9
81036,1302.551026,1767.915651,3070.4666770000003,42.42,57.58,42.31,0.11
81037,934.3128966,1373.584278,2307.8971746,40.48,59.52,39.8,0.68
81038,975.0577461,1231.124809,2206.1825551,44.2,55.8,45.18,-0.98
81039,1265.539577,1794.068525,3059.608102,41.36,58.64,42.21,-0.85
81040,1270.305218,1735.614763,3005.919981,42.26,57.74,42.13,0.13
81043,86.62955724,109.7736817,196.40323894,44.11,55.89,41.68,2.43
81044,1482.562172,2103.799725,3586.3618969999998,41.34,58.66,42.15,-0.81
81045,1.454792234,2.4479569,3.9027491339999996,37.28,62.72,36.68,0.6
81046,2362.852455,3491.247575,5854.10003,40.36,59.64,39.79,0.57
81047,1886.775711,2397.658449,4284.43416,44.04,55.96,44.52,-0.48
81048,1324.617677,1900.652425,3225.270102,41.07,58.93,40.71,0.36
81049,142.7993779,391.1070088,533.9063867,26.75,73.25,33.87,-7.12
81050,825.3857116,2390.734818,3216.1205296,25.66,74.34,31.72,-6.06
81051,768.9379523,2119.074685,2888.0126373000003,26.63,73.37,33.55,-6.92
81053,416.6509061,1030.231251,1446.8821570999999,28.8,71.2,35.97,-7.17
81054,429.2821728,1167.122863,1596.4050358,26.89,73.11,31.59,-4.7
81055,560.7346579,1627.959721,2188.6943788999997,25.62,74.38,30.97,-5.35
81056,472.1656816,1349.544497,1821.7101786,25.92,74.08,31.49,-5.57
81057,792.6945865,2143.166546,2935.8611325,27,73,31.66,-4.66
81058,859.1273066,2508.6432,3367.7705066,25.51,74.49,30.47,-4.96
81060,590.878935,1685.916598,2276.795533,25.95,74.05,31.71,-5.76
81061,872.5407552,2324.841612,3197.3823672000003,27.29,72.71,32.87,-5.58
81062,831.3800431,1008.177443,1839.5574861,45.19,54.81,48.95,-3.76
81063,411.949236,657.3883362,1069.3375722,38.52,61.48,44.66,-6.14
81064,1056.962264,1834.677887,2891.640151,36.55,63.45,42.79,-6.24
81067,1174.299328,2075.377335,3249.676663,36.14,63.86,40.42,-4.28
81069,658.4678964,1027.000837,1685.4687334,39.07,60.93,44.23,-5.16
81070,820.7487679,1131.897341,1952.6461089,42.03,57.97,46.11,-4.08
81071,1332.325085,1598.382537,2930.707622,45.46,54.54,41.05,4.41
81072,986.2980563,1332.374686,2318.6727423,42.54,57.46,40.42,2.12
81073,1561.371803,1969.347519,3530.719322,44.22,55.78,41.38,2.84
81074,1401.426011,1741.653488,3143.079499,44.59,55.41,41.29,3.3
81075,1392.281945,1664.603721,3056.885666,45.55,54.45,41.06,4.49
81076,858.0002135,1051.798942,1909.7991554999999,44.93,55.07,45.79,-0.86
81077,736.8286678,901.1232251,1637.9518929,44.98,55.02,42.57,2.41
81078,2161.308097,2605.759232,4767.0673289999995,45.34,54.66,41.47,3.87
81079,842.2249337,1067.674002,1909.8989357,44.1,55.9,42.22,1.88
81080,722.3246692,909.9958928,1632.3205619999999,44.25,55.75,40.83,3.42
81081,1134.983689,1438.202439,2573.186128,44.11,55.89,39.98,4.13
81082,3868.143683,5495.786008,9363.929691,41.31,58.69,39.99,1.32
81083,405.2143708,497.2906235,902.5049942999999,44.9,55.1,44.56,0.34
81084,1540.431978,1875.670627,3416.102605,45.09,54.91,42.54,2.55
81086,460.236482,576.292154,1036.528636,44.4,55.6,41.54,2.86
81087,800.7571896,992.7935831,1793.5507727,44.65,55.35,39.49,5.16
81088,1031.104448,1276.65481,2307.759258,44.68,55.32,40.37,4.31
81089,8.841449884,11.06803453,19.909484413999998,44.41,55.59,41.59,2.82
